ID,Name,Description
10000,a strange cave,in strange cave in the heart of a mountain range
1,the edge of a forest,standing on the edge of an ancient forest
2,an old pathway,walking along a old path through the forest. Sunlight streams through the canopy above
3,an old pathway,following an old pathway between the ancient oak trees
4,a fork in the path,at a point in the pathway where the way forks in different directions. An old stone statue stands at the junction with a skull in its left hand and a bow in its right hand
5,a narrow track,following narrow track. You think you can make out footprints running east to west
6,the foot of a large tree,standing at the foot of a large oak tree that climbs up high to top of the forest canopy
7,a campsite,at an old campsite with the remains of a tent made of animal skin and a rudimentary fire
8,a clearing,a clearing in the forest. A ring of stones stand eerily about you
9,the foot of a cliff,standing at the foot of a cliff the rises steeply high above the forest. The summit is high above you
10,a cave entrance,standing at the entrance to a cave at the foot of the cliff. The cave looks very dark
11,the back of the cave,at the back of a cave. Darkness surrounds you but you think you can make out a large stone slab that could be a door
12,a small alcove,crouching in a small alcove. There is a strong smell of animal
13,a small alcove,in a small alcove that has been carved out of the rock in the side of the cave
14,a square room,in a square room cut into the rock. The walls are of smooth stone and are covered in inscriptions
100,the tree trunk,climbing a ladder that goes up the side of the large tree
101,a wooden platform,standing on a platform high up in the branches of an old tree
102,a rope walkway,on a rope walk way high above the ground
103,a rope walkway,on a rope walk way high above the ground
104,a rope walkway,on a rope walk way high above the ground
105,a rope walkway,on a rope walk way high above the ground
110,a large bird's nest,standing in a huge bird's nest at the very top of the tree
20,a dark part of the forest,in a place where no sunlight reaches the forest floor and the birds do not sing.  The undergrowth is particularly dense here
21,an earthern barrow,standing next to an old earthern barrow. All is quiet
22,a low tunnel,following a low tunnel that slopes steeply down into the ground
23,a small chamber,in a small chamber deep under ground
24,a small alcove,in a small alcove deep under ground. There is an old table and chair at the back of the room covered in dust and old books
25,the burial chamber,in the burial chamber of a long forgotten lord. There is a stone coffin in the centre of the room which appears to have a square slot in the middle of the coffin lid
26,a beautiful altar,standing in front of a beautiful altar of stone that is covered in detailed carvings and inscriptions
27,a ruined hut,in a clearing next to the ruined structure of an old hut
28,a store house,in a long disused store house whose walls are made of thick stone
30,a stone well,standing next to an old stone well. The well looks deep and dark and unused for some time
31,inside the well,climbing a slippery ladder that runs down the side of the well
32,the bottom of the well,at the bottom of an old well standing in cold murky shallow water
33,a small crawl space,in a small crawl space that is dark and damp
34,a square room,in a small square room whose walls are made of smooth stone and covered in inscriptions
40,a giant nest,in a giant birds nest high on the top of a mountain.  Steep cliffs fall away on all sides
41,a narrow ledge,on a narrow ledge
42,a narrow ledge,on a narrow ledge
43,a small chamber,in a small chamber in the rock.  The walls are inscribed with unrecognisable runes that look like they come from another land far away
44,a square room,in a square room cut into the rock. The walls are of smooth stone and are covered in unrecognisable runes.  The air carries the fragrance of exotic spices from another land
50,the foot of some ruined stone steps,at the bottom of some crumbled steps that rise above the forest floor
51,some ruined steps,carefully climbing some stone steps that have crumbled over many years
52,the top of the stone steps,standing at the top of a flight of old stone steps. There is a high stone wall that goes east and west as far as you can see
53,a courtyard,in an ancient stone courtyard.  The sun shines brightly on the smoothly carved stone walls
54,the forest temple entrance,at the entrance to an old temple in the heart of the forest
55,the gate house,in a small room above the gate into the temple.  There is a lever and machinery here that operates the portcullis
56,the south side of a court yard,on the south side of a large courtyard that was once magnificent but is now choked with plants
57,the centre of the courtyard,in the centre of a once ornate courtyard. A stone statue stands in the middle of a pond of murky water
58,the north side of a courtyard,on the north side of a large courtyard. The north wall is covered in carniverous plants and poison ivy
59,the west side of a courtyard,on the west side of a large courtyard. The stone pathway is bordered by waterways which were once ornate but are now clogged with water weeds
60,the east side of a courtyard,on the east side of a large courtyard.  Dark green water drips out of the mouth of a stone statue of a lion
61,a low tunnel,in a low tunnel whose stone walls are smooth and covered in slime.  Your foot steps echo loudly as you walk
62,a large dark chamber,standing in what was once the holy centre of the Forest Temple.  There is a sacred altar with two statues either side and ornate lamps line the walls.  Everything is disused and covered in weeds and slime
70,the edge of a lake,standing on the edge of a once ornamental lake which is now overgrown with trees and weeds
71,a small island in the middle of the lake,standing on a small island in the middle of the lake.  The island has numerous statues that have been shaped into the heads of various beasts
72,a courtyard on the edge of the lake,in a flag stoned courtyard.  There is a strange stone statue in the middle
73,a store room,in a small building that was used as a store room for the temple
74,the ground floor of a round tower,on the ground floor or a circular stone tower
75,the top of the stone tower,on the top floor of a stone tower.  You can see that all of the surroundings are overgrown with trees and weeds
76,a ruined old building,standing in the remains of an old building.  The walls are cracked and the roof has collapsed allowing sunlight to shine onto the crumbling stone floor
77,a small workshop,in a small workshop with workbenches and rusted old tools
80,the edge of a lake,on the edge of a lake.  The water is thick with weeds and the air full of buzzing insects
81,the middle of the lake,standing in the middle of a bridge that spans the lake
82,some stone steps,standing at the foot of some stone steps that rise out of the lake water
83,a wooded island,on an island overgrown with trees. A wooden bridge spans the lake
84,a small rocky island,stating on a small rocky island in the middle of a vast lake. A wooden bridge spans the lake
85,a willow tree,climbing the branches of a willow tree
